stamp,strategy,chosen_x,chosen_y,information_gain,loop_closure,localization_uncertainty,safety,distance,collisions_vehicules,collisions_pietons,collisions_obstacles,nb_candidats,safety_min,candidats_penalises,info_gain_min,info_gain_max,loop_closure_max
1789314799,random,31.958200468574407,-4.673165473090268e-06,0.3463212157729129,0.0,0.0034475864754878157,1.0,32.0,0,0,0,4,1.0,0,0.3463212157729129,0.6041560488541275,0.0
1789314808,random,104.8564077349539,-1.4685700759686782e-05,0.6681187556454586,0.0,0.12745398132035057,1.0,88.0,0,0,0,4,1.0,0,0.09178549909620405,0.6681187556454586,0.0
1789314816,random,115.9785513945835,-1.6330389381202792e-05,0.14380397670214903,0.0,0.44016775349800513,1.0,32.0,0,0,0,3,1.0,0,0.14380397670214903,0.371464613149711,0.0
1789314818,random,173.53094593024457,-2.4379973765586982e-05,0.6062522349768577,0.0,0.488014065696383,1.0,64.0,0,0,0,3,1.0,0,0.5561089184843878,0.6229511491312653,0.0
1789314825,random,125.34215001708014,7.99998211910963,0.0001506326571600723,0.0,0.6067912662287728,1.0,248.0,0,0,0,2,1.0,0,0.0001506326571600723,0.0002008435428800964,0.0
1789314868,random,94.665685840274,7.99998694680271,0.00012050612572805785,0.5952775582475371,0.6541208292173656,1.0,32.0,0,0,0,2,1.0,0,0.00012050612572805785,0.0001338956952533976,0.5952775582475371
1789314872,random,45.67569355750517,7.999993934518838,0.00014345967348578314,0.5722822563503818,0.6958331708268043,1.0,56.0,0,0,0,5,1.0,0,8.033741715203857e-05,0.0001506326571600723,0.5749091627367198
1789314878,random,-7.547590569641741,37.36569624761911,0.17234886523398274,0.0,0.7775598508699155,0.7292700154382503,88.0,0,0,0,4,0.3783509437054217,4,0.0,0.17234886523398274,0.598158838211299
1789314890,random,-7.078422541711346,87.38353190453776,0.5376705319217677,0.0,0.8576470622407696,0.5182463230035318,56.0,0,0,0,3,0.5182463230035318,3,0.5376705319217677,0.6362229565232176,0.0
1789314916,random,-6.0488078827357645,147.31386672726484,0.7166612665572084,0.0,0.8803126804760939,1.0,80.0,0,0,0,7,1.0,0,0.19160473990761195,0.7166612665572084,0.0
1789314923,random,19.229625287390927,184.56480727041216,0.5858532305424246,0.0,0.9183125132978144,1.0,56.0,0,0,0,7,1.0,0,0.3023197429202651,0.756622257927741,0.0
1789314929,random,55.226740111902004,197.96060555843152,0.5676842739505925,0.0,0.9400504847064354,1.0,48.0,0,0,0,6,1.0,0,0.3889335207873067,0.6940037044475686,0.0
1789314934,random,71.08768090179629,199.31868533984635,0.19294369686014592,0.0,0.9420288333176461,1.0,40.0,0,0,0,7,1.0,0,0.19294369686014592,0.6700363749972105,0.0
1789314936,random,129.38046533986054,200.33490914517526,0.6343894356296444,0.0,0.9408924782477399,1.0,72.0,0,0,0,7,1.0,0,0.21617459998661046,0.6713083841021178,0.0
1789314943,random,147.78840818496263,200.65582620681377,0.24337216308495682,0.0,0.9434115314025573,1.0,40.0,0,0,0,2,1.0,0,0.1115351141460802,0.24337216308495682,0.0
1789314945,random,224.57314441466406,74.47606879788383,0.9086584708406887,0.0,0.9481482332279925,1.0,216.0,0,0,0,5,1.0,0,0.8775356497288612,0.9086584708406887,0.0
1789314994,random,100.72931998763943,7.999985915916892,0.6283278659257773,0.8024667161546802,0.9355823573769172,1.0,176.0,0,0,0,5,1.0,0,0.5264778737363593,0.6283278659257773,0.8024667161546802
