bras,graine,plan,n_echantillons,ate_moyenne_m,ate_mediane_m,ate_rmse_m,ate_max_m,divergent
weighted,1,pre-enregistre,208,2.9009,2.7371,3.5719,15.1413,non
weighted,2,pre-enregistre,208,4.3221,4.3622,4.9295,12.8511,non
weighted,3,pre-enregistre,208,3.4252,3.6194,3.8584,6.5365,non
weighted,4,pre-enregistre,242,3.9429,3.7532,4.8831,10.6016,non
weighted,5,pre-enregistre,210,2.6792,1.9882,3.5374,7.6236,non
random,1,pre-enregistre,211,4.9983,5.2570,5.7137,14.0474,non
random,2,pre-enregistre,209,2.6251,2.2582,3.2869,9.5010,non
random,3,pre-enregistre,210,3.0264,3.2217,3.6147,7.7324,non
random,4,pre-enregistre,208,3.9545,3.1747,4.9302,9.7521,non
random,5,pre-enregistre,207,2.6375,2.7298,3.1503,10.0756,non
predefinie,1,pre-enregistre,139,13.4313,15.1299,15.9134,26.0551,non
predefinie,2,pre-enregistre,178,162.0946,209.0935,185.7395,228.5130,oui
predefinie,3,pre-enregistre,126,15.9522,19.8683,18.8172,26.6521,non
predefinie,4,pre-enregistre,123,19.0584,12.4038,24.4277,43.9497,non
predefinie,5,pre-enregistre,183,23.3556,26.2175,28.9401,45.5347,non
predefinie,8,supplementaire,190,35.2432,40.1696,44.7544,69.5615,
predefinie,9,supplementaire,215,28.7980,31.6760,32.4612,46.3937,
weighted,6,supplementaire,202,9.4915,6.7248,13.0460,45.7603,
weighted,7,supplementaire,207,3.2261,2.4296,4.2222,12.1031,
weighted,8,supplementaire,213,5.5632,4.5720,7.1031,20.1050,
weighted,9,supplementaire,209,5.7595,6.0292,6.8469,11.8303,
