bras,graine,seuil_m2,distance_m,duree_s,atteint
weighted,1,10000,80.3,14.9,oui
weighted,2,10000,66.3,15.7,oui
weighted,3,10000,68.0,15.0,oui
weighted,4,10000,78.4,15.9,oui
weighted,5,10000,78.9,14.8,oui
random,1,10000,75.3,13.9,oui
random,2,10000,70.9,14.9,oui
random,3,10000,81.5,14.8,oui
random,4,10000,75.4,16.7,oui
random,5,10000,72.0,13.8,oui
predefinie,1,10000,72.6,13.6,oui
predefinie,2,10000,74.4,13.7,oui
predefinie,3,10000,71.0,13.7,oui
predefinie,4,10000,77.5,13.8,oui
predefinie,5,10000,76.9,13.9,oui
weighted,1,12000,106.6,18.0,oui
weighted,2,12000,94.1,18.9,oui
weighted,3,12000,95.9,18.3,oui
weighted,4,12000,105.5,19.0,oui
weighted,5,12000,107.2,18.1,oui
random,1,12000,103.1,17.6,oui
random,2,12000,98.2,18.0,oui
random,3,12000,108.8,18.0,oui
random,4,12000,93.6,18.7,oui
random,5,12000,99.5,17.0,oui
predefinie,1,12000,95.5,15.8,oui
predefinie,2,12000,107.1,16.7,oui
predefinie,3,12000,92.9,15.8,oui
predefinie,4,12000,99.9,15.9,oui
predefinie,5,12000,111.6,17.1,oui
weighted,1,14000,394.3,56.0,oui
weighted,2,14000,120.3,22.0,oui
weighted,3,14000,123.0,21.4,oui
weighted,4,14000,141.7,23.2,oui
weighted,5,14000,402.4,64.1,oui
random,1,14000,361.0,52.7,oui
random,2,14000,116.2,20.1,oui
random,3,14000,401.7,62.4,oui
random,4,14000,119.6,21.8,oui
random,5,14000,372.2,54.3,oui
predefinie,1,14000,131.2,18.9,oui
predefinie,2,14000,1118.3,185.7,oui
predefinie,3,14000,115.1,17.8,oui
predefinie,4,14000,1081.1,116.1,oui
predefinie,5,14000,1097.4,187.1,oui
weighted,1,15140,521.6,70.7,oui
weighted,2,15140,516.8,72.8,oui
weighted,3,15140,522.1,72.3,oui
weighted,4,15140,458.3,76.0,oui
weighted,5,15140,520.9,78.2,oui
random,1,15140,480.2,66.5,oui
random,2,15140,522.1,72.3,oui
random,3,15140,519.8,76.1,oui
random,4,15140,518.2,86.2,oui
random,5,15140,489.6,68.0,oui
predefinie,1,15140,,,non
predefinie,2,15140,,,non
predefinie,3,15140,1095.3,126.7,oui
predefinie,4,15140,1185.8,130.2,oui
predefinie,5,15140,,,non
